영역,테이블_또는_파일,컬럼명,키_역할,참조_테이블,참조_컬럼,엔진에서_쓰는_곳,비고
SQLite,customer_inputs,session_id,PK(기본키),,,진단 1회=세션 1건. 챗봇·네이버 대화와 연결,INSERT OR REPLACE
SQLite,customer_inputs,shop_id,속성(차원),,,멀티 샵·리포트 필터,
SQLite,customer_inputs,policy_version,속성(차원),,,정책 버전별 리포트,
SQLite,customer_inputs,preferred_style,입력값,,,Q 스타일 선호,
SQLite,customer_inputs,foot_issues,입력값(JSON),,,발 이슈 복수,
SQLite,customer_inputs,hallux_severity,입력값,,,무지외반,
SQLite,customer_inputs,instep_severity,입력값,,,발등,
SQLite,customer_inputs,toe_detail,입력값,,,앞코,
SQLite,customer_inputs,design,입력값,,,구두/로퍼/운동화,
SQLite,customer_inputs,original_size,입력값,,,기존 mm,
SQLite,customer_inputs,fit_experience,입력값,,,착화감,
SQLite,customer_inputs,measurement_available,입력값,,,실측 여부,
SQLite,customer_inputs,foot_length_mm,입력값,,,실측,
SQLite,customer_inputs,foot_ball_width_mm,입력값,,,실측,
SQLite,customer_inputs,instep_circumference_mm,입력값,,,실측,
SQLite,customer_inputs,heel_slip_when_one_size_up,입력값,,,Q5-3 헐떡임,
SQLite,customer_inputs,created_at,속성,,,저장 시각,
SQLite,diagnosis_results,session_id,PK + FK,customer_inputs,session_id,진단 결과. PK와 FK가 같은 컬럼(1:1),FOREIGN KEY 선언됨
SQLite,diagnosis_results,shop_id,속성,,,입력과 동기,
SQLite,diagnosis_results,policy_version,속성,,,입력과 동기,
SQLite,diagnosis_results,recommended_product_id,논리FK(미선언),products(CSV),product_id,TOP1 상품. CSV 카탈로그 참조,
SQLite,diagnosis_results,recommended_product_name,파생,,,표시용,
SQLite,diagnosis_results,recommended_fit,결과,,,핏라인,
SQLite,diagnosis_results,recommendation_reason,결과,,,추천 사유,
SQLite,diagnosis_results,ready_made_option,결과,,,기성 옵션,
SQLite,diagnosis_results,stretch_option,결과,,,늘림 옵션,
SQLite,diagnosis_results,ready_made_possible,결과,,,기성 가능,
SQLite,diagnosis_results,original_size,결과,,,입력 복사,
SQLite,diagnosis_results,final_size,결과,,,최종 mm,
SQLite,diagnosis_results,size_adjusted,결과,,,사이즈 조정 여부,
SQLite,diagnosis_results,stretch_step,결과,,,늘림 단계,
SQLite,diagnosis_results,stretch_mm,결과,,,늘림 mm,
SQLite,diagnosis_results,stretch_reason,결과,,,늘림 사유,
SQLite,diagnosis_results,additional_works,결과(JSON),,,추가 가공,
SQLite,diagnosis_results,is_consult,결과,,,상담 플래그,
SQLite,diagnosis_results,consult_reason,결과,,,상담 사유,
SQLite,diagnosis_results,design,결과,,,카테고리,
SQLite,diagnosis_results,failure_experience,결과,,,실패 경험,
SQLite,diagnosis_results,composite_score,결과,,,복합 점수,
SQLite,diagnosis_results,measurement_available,결과,,,실측,
